,Id,geometry,Nearest_Node_ID,Nearest_Cooling_Center,Cooling_Center_ID,Driving_Time_Minutes
793,0,"POLYGON Z ((-93.57459999993443 41.5945999994874 0, -93.57459999993443 41.59449999965727 0, -93.57469999976456 41.59449999965727 0, -93.57469999976456 41.59469999931753 0, -93.57459999993443 41.5945999994874 0))",160853991.0,East Side Library,160775687.0,32.0
794,0,"POLYGON Z ((-93.57639999967068 41.593399999663234 0, -93.57650000043213 41.593399999663234 0, -93.57650000043213 41.59349999949336 0, -93.57639999967068 41.59359999932349 0, -93.57639999967068 41.593399999663234 0))",160930578.0,East Side Library,160775687.0,36.0
795,0,"POLYGON Z ((-93.57650000043213 41.599099999293685 0, -93.57650000043213 41.59899999946356 0, -93.57660000026226 41.59899999946356 0, -93.57660000026226 41.599099999293685 0, -93.57660000026226 41.599099999293685 0, -93.57660000026226 41.599099999293685 0, -93.57650000043213 41.599099999293685 0))",160930549.0,East Side Library,160775687.0,30.0
796,0,"POLYGON Z ((-93.57859999965876 41.594900000840425 0, -93.57859999965876 41.594900000840425 0, -93.57870000042021 41.594900000840425 0, -93.57870000042021 41.594900000840425 0, -93.57859999965876 41.594900000840425 0))",160908772.0,East Side Library,160775687.0,34.0
797,0,"POLYGON Z ((-93.5789999999106 41.59830000065267 0, -93.57909999974072 41.59830000065267 0, -93.57909999974072 41.5984000004828 0, -93.5789999999106 41.5984000004828 0, -93.5789999999106 41.59830000065267 0, -93.5789999999106 41.59830000065267 0, -93.5789999999106 41.59830000065267 0))",160895326.0,East Side Library,160775687.0,32.0
798,0,"POLYGON Z ((-93.58119999989867 41.596300000324845 0, -93.58119999989867 41.59620000049472 0, -93.5812999997288 41.59620000049472 0, -93.5812999997288 41.59610000066459 0, -93.58139999955893 41.59610000066459 0, -93.58139999955893 41.596300000324845 0, -93.58119999989867 41.596300000324845 0))",160964072.0,East Side Library,160775687.0,34.0
799,0,"POLYGON Z ((-93.52929999958724 41.585799999535084 0, -93.52940000034869 41.58569999970496 0, -93.52950000017881 41.58569999970496 0, -93.52940000034869 41.585799999535084 0, -93.52929999958724 41.585799999535084 0))",160799639.0,Pleasant Hill Public Library,160818817.0,22.0
800,0,"POLYGON Z ((-93.53490000031888 41.60089999996126 0, -93.53490000031888 41.60080000013113 0, -93.53500000014901 41.60080000013113 0, -93.53500000014901 41.60089999996126 0, -93.53490000031888 41.60089999996126 0))",160889466.0,Fourmile Community Recreation Center ,160848580.0,28.0
801,0,"POLYGON Z ((-93.53699999954551 41.59919999912381 0, -93.53699999954551 41.599099999293685 0, -93.53710000030696 41.599099999293685 0, -93.53710000030696 41.59919999912381 0, -93.53699999954551 41.59919999912381 0))",160895527.0,Fourmile Community Recreation Center ,160848580.0,32.0
802,0,"POLYGON Z ((-93.55319999996573 41.588700000196695 0, -93.55319999996573 41.58860000036657 0, -93.55300000030547 41.58860000036657 0, -93.55300000030547 41.588400000706315 0, -93.55329999979585 41.588400000706315 0, -93.55329999979585 41.588700000196695 0, -93.55319999996573 41.588700000196695 0))",160907348.0,East Side Library,160775687.0,50.0
